support,itemsets
0.06451612903225806,"frozenset({'entertainment', 'concert'})"
0.06451612903225806,"frozenset({'concert', 'recent'})"
0.06451612903225806,"frozenset({'entertainment', 'concert', 'recent'})"
0.07096774193548387,"frozenset({'technology', 'device'})"
0.07096774193548387,"frozenset({'recent', 'device'})"
0.07096774193548387,"frozenset({'recent', 'technology', 'device'})"
0.06451612903225806,"frozenset({'startup', 'technology'})"
0.06451612903225806,"frozenset({'startup', 'recent'})"
0.06451612903225806,"frozenset({'startup', 'technology', 'recent'})"
0.04516129032258064,"frozenset({'technology', 'software'})"
0.04516129032258064,"frozenset({'software', 'recent'})"
0.04516129032258064,"frozenset({'technology', 'software', 'recent'})"
0.05161290322580645,"frozenset({'technology', 'data'})"
0.05161290322580645,"frozenset({'data', 'recent'})"
0.05161290322580645,"frozenset({'data', 'technology', 'recent'})"
0.05161290322580645,"frozenset({'technology', 'network'})"
0.05161290322580645,"frozenset({'network', 'recent'})"
0.05161290322580645,"frozenset({'technology', 'network', 'recent'})"
0.03870967741935484,"frozenset({'technology', 'innovation'})"
0.03870967741935484,"frozenset({'innovation', 'recent'})"
0.03870967741935484,"frozenset({'technology', 'innovation', 'recent'})"
0.03870967741935484,"frozenset({'business', 'economy'})"
0.03870967741935484,"frozenset({'economy', 'recent'})"
0.03870967741935484,"frozenset({'business', 'economy', 'recent'})"
0.16774193548387098,"frozenset({'politics', 'recent'})"
0.06451612903225806,"frozenset({'politics', 'minister'})"
0.06451612903225806,"frozenset({'minister', 'recent'})"
0.06451612903225806,"frozenset({'politics', 'minister', 'recent'})"
0.04516129032258064,"frozenset({'politics', 'reform'})"
0.04516129032258064,"frozenset({'reform', 'recent'})"
0.04516129032258064,"frozenset({'politics', 'reform', 'recent'})"
0.16129032258064516,"frozenset({'sports', 'recent'})"
0.06451612903225806,"frozenset({'player', 'sports'})"
0.06451612903225806,"frozenset({'player', 'recent'})"
0.06451612903225806,"frozenset({'player', 'sports', 'recent'})"
0.05161290322580645,"frozenset({'sports', 'season'})"
0.05161290322580645,"frozenset({'recent', 'season'})"
0.05161290322580645,"frozenset({'sports', 'recent', 'season'})"
0.04516129032258064,"frozenset({'sports', 'athlete'})"
0.04516129032258064,"frozenset({'athlete', 'recent'})"
0.04516129032258064,"frozenset({'sports', 'athlete', 'recent'})"
0.05806451612903226,"frozenset({'diplomacy', 'politics'})"
0.05806451612903226,"frozenset({'diplomacy', 'recent'})"
0.03225806451612903,"frozenset({'parliament', 'diplomacy'})"
0.05806451612903226,"frozenset({'politics', 'diplomacy', 'recent'})"
0.03225806451612903,"frozenset({'parliament', 'diplomacy', 'politics'})"
0.03225806451612903,"frozenset({'parliament', 'diplomacy', 'recent'})"
0.03225806451612903,"frozenset({'parliament', 'politics', 'diplomacy', 'recent'})"
0.05806451612903226,"frozenset({'politics', 'election'})"
0.05806451612903226,"frozenset({'election', 'recent'})"
0.05806451612903226,"frozenset({'politics', 'election', 'recent'})"
0.04516129032258064,"frozenset({'politics', 'legislation'})"
0.04516129032258064,"frozenset({'legislation', 'recent'})"
0.04516129032258064,"frozenset({'politics', 'legislation', 'recent'})"
0.03225806451612903,"frozenset({'entertainment', 'actor'})"
0.03225806451612903,"frozenset({'actor', 'recent'})"
0.03225806451612903,"frozenset({'entertainment', 'actor', 'recent'})"
0.05161290322580645,"frozenset({'sports', 'tournament'})"
0.05161290322580645,"frozenset({'tournament', 'recent'})"
0.05161290322580645,"frozenset({'sports', 'tournament', 'recent'})"
0.07741935483870968,"frozenset({'parliament', 'politics'})"
0.07741935483870968,"frozenset({'parliament', 'recent'})"
0.07741935483870968,"frozenset({'parliament', 'politics', 'recent'})"
0.04516129032258064,"frozenset({'politics', 'vote'})"
0.04516129032258064,"frozenset({'vote', 'recent'})"
0.04516129032258064,"frozenset({'politics', 'vote', 'recent'})"
0.03225806451612903,"frozenset({'algorithm', 'technology'})"
0.03225806451612903,"frozenset({'algorithm', 'recent'})"
0.03225806451612903,"frozenset({'algorithm', 'technology', 'recent'})"
0.05806451612903226,"frozenset({'sports', 'score'})"
0.05806451612903226,"frozenset({'score', 'recent'})"
0.05806451612903226,"frozenset({'sports', 'score', 'recent'})"
0.03870967741935484,"frozenset({'match', 'sports'})"
0.03870967741935484,"frozenset({'match', 'recent'})"
0.03870967741935484,"frozenset({'match', 'sports', 'recent'})"
0.05161290322580645,"frozenset({'entertainment', 'album'})"
0.05161290322580645,"frozenset({'album', 'recent'})"
0.03225806451612903,"frozenset({'theater', 'album'})"
0.05161290322580645,"frozenset({'entertainment', 'album', 'recent'})"
0.03225806451612903,"frozenset({'entertainment', 'theater', 'album'})"
0.03225806451612903,"frozenset({'theater', 'album', 'recent'})"
0.03225806451612903,"frozenset({'entertainment', 'theater', 'album', 'recent'})"
0.03225806451612903,"frozenset({'entertainment', 'performance'})"
0.03225806451612903,"frozenset({'performance', 'recent'})"
0.03225806451612903,"frozenset({'entertainment', 'performance', 'recent'})"
0.04516129032258064,"frozenset({'investment', 'business'})"
0.04516129032258064,"frozenset({'investment', 'recent'})"
0.04516129032258064,"frozenset({'investment', 'business', 'recent'})"
0.06451612903225806,"frozenset({'sports', 'victory'})"
0.06451612903225806,"frozenset({'victory', 'recent'})"
0.03225806451612903,"frozenset({'championship', 'victory'})"
0.06451612903225806,"frozenset({'sports', 'victory', 'recent'})"
0.03225806451612903,"frozenset({'sports', 'championship', 'victory'})"
0.03225806451612903,"frozenset({'victory', 'championship', 'recent'})"
0.03225806451612903,"frozenset({'sports', 'victory', 'championship', 'recent'})"
0.07096774193548387,"frozenset({'entertainment', 'show'})"
0.07096774193548387,"frozenset({'show', 'recent'})"
0.07096774193548387,"frozenset({'entertainment', 'show', 'recent'})"
